,User Name,Review Title,Review Text,Star,Review posted time,Total Description,ReviewDescription_score,ReviewDescription_Sentiment
10,Su A.,full screen clock mode,give u full screen clock oh amazon provide clock option show 5 spot show 8 baffle mind 1 star fixed,1.0 out of 5 stars,"Reviewed in the United States on November 29, 2019",give u full screen clock oh amazon provide clock option show 5 spot show 8 baffle mind 1 star fixedfull screen clock mode,0.9945019483566284,NEGATIVE
11,Su A.,pro con ok echo show 8 hr,pro compact simple design like design fit room bedroom kitchen living room echo fit location large rubber foot keep shaking around big fan black mesh fabric cover back device doesnt become fingerdust print magnet extremely simple setup setup right screen dont need download app need wifi youre basically done set multiple alarm repeat various day week change alarm tone sound gradually increase get sleep able play music want customized alarm system fit anyones need add customization make device picture frame set single pic slideshow pic background love privacy physical shutter block camera excellent choice didnt would like every laptop place tape order block viewing quick slide shutter day age never know whose watching little thing like show amazon know want sometimes button next volume control device allow mute mic say alexa delete everything said today erase recorded search history little thing go long way even block camera shutter still take call talk alexa light sensor go nighttime display light waking 3 check time quick painless eye sensor able add appropriate amount light depending much light room similar autobrightness smartphones builtin 35 mm audio cable mean plug home speaker system didnt find need test plugging another speaker two web browsing option firefox amazon silk recommend stick firefox found better use device like voice command asking alexa weather make call play music turn light smart light forth job time go detail con section softwarewise appreciate screen hit smart home button organizes device use frequently found useful see smart device use shocker smart light house useful need quickly turn specific smart device thermostat smart device one cool feature changing temperature show 8 ask alexa change temperature thermostat slider pop screen allowing automatically tweak temperature also button device menu turn everything connected show voice call come alexa app skype bluetooth sheldon cooper wisely said everything better bluetooth microphone pick voice quickly tv average person volume level probably 20 foot away screen actually viewable seen echo 5 past show 8 screen huge improvement viewing video getting glance quick info weather news highlight time etc smart screen layout see fit security cam baby monitor ring camera door work like charm need see door saying alexa start day pretty cool experience spend time customizing want see hear alexa getting bed modern morning cycle taking receiving phone call real breeze static break communication talking colleague note didnt try wifi calling international summarize 4 way communication message call dropin announce playing foo fighter show 8 display lyric alongside song playing pretender one word karaoke good speaker music coming show 5 loud little surprising given size enough house party enough study cooking timecons ok cant watch youtube video using alexas voice command physically go type web browser google owns youtube 2019 amazon google best merging software major buzzkill learning something youtube made instead youtube alexa bring wiki video theyre basic significant amount video inventory able access intro video wanted know bake cooky needed go screen touch next video play wiki video dont give opportunity cook binging babish video beware advertisement watching movie show amazon love cutting 30 screen advertisement need prepared experience going away unlike google nest hub speak alexa device show said alexa messed said yet dont know word caused miscommunication want mention support google service honest google owns internet photo drive nest camera youtube etc device basic searchesvideos want require additional step want mapping direction go place around city stick google map smartphone alexa doesnt camera isnt anything brag doesnt advance hdr feature video call web typing miserable stick phone need search something really quick bezel around screen make everything look smaller screen size help reduce feeling real apps useful given size alexa google assistant speak specific syntax order alexa want simple demand alexa work like charm start asking random question alexa say sorry im sure something similar example said alexa show dog video nothing happens saying alexa open prime video open right away specific need say usb port charge phone show public viewing center attention usb port wouldve great charge phone input picture video even recipe show start getting used show 8 turn alexa tip feature clutter screen default small screen yet show 8 want put much streaming music iphone show 8 using bluetooth music isnt clear plagued bluetooth artifact assume software issue may resolved near future update still think know lag touch screen tapping back button wait 23 second follows request want move around need pay viewing angle attachment cant adjust viewing angle without screen maybe little bright dark room show 8 doesnt dolby feature make volume music loud clear playing acoustic song fine playing anything complex song foo fighter lady gaga distorts quality song lot step simple task wanted pick preferred source image go setting home clock clock finally personal photo lot step simple taskbottom line echo show echo show 5 best one market two thing make best three screen privacy layout screen large enough watching video wasnt hazel manual button privacy must day age nice design see something kitchen placesthe show 8 lot decent work also numerous feature isnt best due software issue resolution isnt mindblowing something either play music even movie background work replacement screen watch 2 hour quick 5 minute see kitchen great place follow cooking video anywhere else feel would put use enough worth costalso advise everyone take look google nest hub lenovo rest echo show smart system truth universal home smart system isnt google nest software top line communication user interface show 8 main highlight privacy video call smart house function price price youre getting nice system screen ratio youre fully board amazon world youll restricted many way sometimes itll quicker take smartphoneoverall best three echo useful kitchen desk,4.0 out of 5 stars,"Reviewed in the United States on November 25, 2019",pro compact simple design like design fit room bedroom kitchen living room echo fit location large rubber foot keep shaking around big fan black mesh fabric cover back device doesnt become fingerdust print magnet extremely simple setup setup right screen dont need download app need wifi youre basically done set multiple alarm repeat various day week change alarm tone sound gradually increase get sleep able play music want customized alarm system fit anyones need add customization make device picture frame set single pic slideshow pic background love privacy physical shutter block camera excellent choice didnt would like every laptop place tape order block viewing quick slide shutter day age never know whose watching little thing like show amazon know want sometimes button next volume control device allow mute mic say alexa delete everything said today erase recorded search history little thing go long way even block camera shutter still take call talk alexa light sensor go nighttime display light waking 3 check time quick painless eye sensor able add appropriate amount light depending much light room similar autobrightness smartphones builtin 35 mm audio cable mean plug home speaker system didnt find need test plugging another speaker two web browsing option firefox amazon silk recommend stick firefox found better use device like voice command asking alexa weather make call play music turn light smart light forth job time go detail con section softwarewise appreciate screen hit smart home button organizes device use frequently found useful see smart device use shocker smart light house useful need quickly turn specific smart device thermostat smart device one cool feature changing temperature show 8 ask alexa change temperature thermostat slider pop screen allowing automatically tweak temperature also button device menu turn everything connected show voice call come alexa app skype bluetooth sheldon cooper wisely said everything better bluetooth microphone pick voice quickly tv average person volume level probably 20 foot away screen actually viewable seen echo 5 past show 8 screen huge improvement viewing video getting glance quick info weather news highlight time etc smart screen layout see fit security cam baby monitor ring camera door work like charm need see door saying alexa start day pretty cool experience spend time customizing want see hear alexa getting bed modern morning cycle taking receiving phone call real breeze static break communication talking colleague note didnt try wifi calling international summarize 4 way communication message call dropin announce playing foo fighter show 8 display lyric alongside song playing pretender one word karaoke good speaker music coming show 5 loud little surprising given size enough house party enough study cooking timecons ok cant watch youtube video using alexas voice command physically go type web browser google owns youtube 2019 amazon google best merging software major buzzkill learning something youtube made instead youtube alexa bring wiki video theyre basic significant amount video inventory able access intro video wanted know bake cooky needed go screen touch next video play wiki video dont give opportunity cook binging babish video beware advertisement watching movie show amazon love cutting 30 screen advertisement need prepared experience going away unlike google nest hub speak alexa device show said alexa messed said yet dont know word caused miscommunication want mention support google service honest google owns internet photo drive nest camera youtube etc device basic searchesvideos want require additional step want mapping direction go place around city stick google map smartphone alexa doesnt camera isnt anything brag doesnt advance hdr feature video call web typing miserable stick phone need search something really quick bezel around screen make everything look smaller screen size help reduce feeling real apps useful given size alexa google assistant speak specific syntax order alexa want simple demand alexa work like charm start asking random question alexa say sorry im sure something similar example said alexa show dog video nothing happens saying alexa open prime video open right away specific need say usb port charge phone show public viewing center attention usb port wouldve great charge phone input picture video even recipe show start getting used show 8 turn alexa tip feature clutter screen default small screen yet show 8 want put much streaming music iphone show 8 using bluetooth music isnt clear plagued bluetooth artifact assume software issue may resolved near future update still think know lag touch screen tapping back button wait 23 second follows request want move around need pay viewing angle attachment cant adjust viewing angle without screen maybe little bright dark room show 8 doesnt dolby feature make volume music loud clear playing acoustic song fine playing anything complex song foo fighter lady gaga distorts quality song lot step simple task wanted pick preferred source image go setting home clock clock finally personal photo lot step simple taskbottom line echo show echo show 5 best one market two thing make best three screen privacy layout screen large enough watching video wasnt hazel manual button privacy must day age nice design see something kitchen placesthe show 8 lot decent work also numerous feature isnt best due software issue resolution isnt mindblowing something either play music even movie background work replacement screen watch 2 hour quick 5 minute see kitchen great place follow cooking video anywhere else feel would put use enough worth costalso advise everyone take look google nest hub lenovo rest echo show smart system truth universal home smart system isnt google nest software top line communication user interface show 8 main highlight privacy video call smart house function price price youre getting nice system screen ratio youre fully board amazon world youll restricted many way sometimes itll quicker take smartphoneoverall best three echo useful kitchen deskpro con ok echo show 8 hr,0.9933798313140869,NEGATIVE
12,Joyce,mickey mouse design,designed thing need billboard nightstand please remove thing try provide full screen clock give break,1.0 out of 5 stars,"Reviewed in the United States on December 1, 2019",designed thing need billboard nightstand please remove thing try provide full screen clock give breakmickey mouse design,0.9926389455795288,NEGATIVE
13,RogerReece,get something else,lured good price black friday cant recommend device unlike review suggest way turn thing try message constantly appears bottom screen im unable select facebook album weather forecast stay rather rotates offoverall device accomplished nothing notable would recommendedit amazon employee named kristina reached concern appreciate took feedback confirmed way turn thing try prompt told common feedback published limit number facebook album support found 50 stop looking meant lot old album select nothing recent weather app selected card doesnt stay appears 30 second disappears 30 cycle continues overall physical quality device quite good software lack sort customization point pretty much get stock experience box original point stand device doesnt really accomplish anything despite well made,1.0 out of 5 stars,"Reviewed in the United States on November 30, 2019",lured good price black friday cant recommend device unlike review suggest way turn thing try message constantly appears bottom screen im unable select facebook album weather forecast stay rather rotates offoverall device accomplished nothing notable would recommendedit amazon employee named kristina reached concern appreciate took feedback confirmed way turn thing try prompt told common feedback published limit number facebook album support found 50 stop looking meant lot old album select nothing recent weather app selected card doesnt stay appears 30 second disappears 30 cycle continues overall physical quality device quite good software lack sort customization point pretty much get stock experience box original point stand device doesnt really accomplish anything despite well madeget something else,0.9982428550720215,NEGATIVE
14,Plastic Doc,irritating message,would great product except annoying persistent message thing try across bottom half screen id love able rate higher annoying message cant get rid realize bout google product,1.0 out of 5 stars,"Reviewed in the United States on December 1, 2019",would great product except annoying persistent message thing try across bottom half screen id love able rate higher annoying message cant get rid realize bout google productirritating message,0.9975863695144653,NEGATIVE
15,Honest Reviewer,echo show barely usable today potential software ready prime time yet,echo show barely usable yet great potentiali say wanted nice clockiheartradiocalendarweather forecastvoice control home automation device desk echo show fails provide servicesseamlessly requirement individually met together let explain listening iheartradio see clockweatheretc basic function time work listening radio stream iheartradio app take total control display rotation apps go clock font clock configurable epic fail le perfect vision ability customize product desiresneeds rate product barely able sold automation product add insult amazon run hint across bottom screen try alexa open nothing annoying spam disable feature echo product line threw google product even echo short coming still better google think harmony product line integration echo good wrong barely cross line usability example set voice command execute single ir button ie arrow arrow etc installed high end automation equipment house crestron compare product decent home automation echo ready prime time yet great potentialeventuallyhopefully,1.0 out of 5 stars,"Reviewed in the United States on November 30, 2019",echo show barely usable yet great potentiali say wanted nice clockiheartradiocalendarweather forecastvoice control home automation device desk echo show fails provide servicesseamlessly requirement individually met together let explain listening iheartradio see clockweatheretc basic function time work listening radio stream iheartradio app take total control display rotation apps go clock font clock configurable epic fail le perfect vision ability customize product desiresneeds rate product barely able sold automation product add insult amazon run hint across bottom screen try alexa open nothing annoying spam disable feature echo product line threw google product even echo short coming still better google think harmony product line integration echo good wrong barely cross line usability example set voice command execute single ir button ie arrow arrow etc installed high end automation equipment house crestron compare product decent home automation echo ready prime time yet great potentialeventuallyhopefullyecho show barely usable today potential software ready prime time yet,0.9990867376327515,NEGATIVE
16,Gustavo Ferreira,alexa quit showing suggestion,update reviewer claim turn suggestion first go device went home clock setting turned everything still get alexa suggestion time one person also claim fullscreen clock displayed review posted received phone call amazon support person agreed way turn alexa suggestion also agreed way display fullscreen clocki show5 really like turned notification still get annoying alexa suggestion bottom screen show5 least alexa suggestion small print pretend enjoy large clock show8 get small clock upper left corner way change since screen bigger mandatory alexa suggestion bigger font good news running 2 minute amazon music sound good bad news really want keep really like large clock face show5 seems ridiculous clock option show8,2.0 out of 5 stars,"Reviewed in the United States on November 27, 2019",update reviewer claim turn suggestion first go device went home clock setting turned everything still get alexa suggestion time one person also claim fullscreen clock displayed review posted received phone call amazon support person agreed way turn alexa suggestion also agreed way display fullscreen clocki show5 really like turned notification still get annoying alexa suggestion bottom screen show5 least alexa suggestion small print pretend enjoy large clock show8 get small clock upper left corner way change since screen bigger mandatory alexa suggestion bigger font good news running 2 minute amazon music sound good bad news really want keep really like large clock face show5 seems ridiculous clock option show8alexa quit showing suggestion,0.9988365769386292,NEGATIVE
17,Jeremy Buck,omg amazon please turn stupid thing try wallpaper non stop,got primarily use digital picture frame living room great job scrolling thru picture display beautifully however put annoying thing try bottom every single picture ruining digital picture frame people begging amazon year stop keep ignoring turned continuous scroll discovery every setting could find still infuriating mean really people know use alexa device think necessary make sense force everyone echo spot even show 5 able get least show 8 apparently decided part wallpaper also cant adjust clock size position like show 5 nothing worse looking picture beautiful child stupid thing try bottom,1.0 out of 5 stars,"Reviewed in the United States on December 3, 2019",got primarily use digital picture frame living room great job scrolling thru picture display beautifully however put annoying thing try bottom every single picture ruining digital picture frame people begging amazon year stop keep ignoring turned continuous scroll discovery every setting could find still infuriating mean really people know use alexa device think necessary make sense force everyone echo spot even show 5 able get least show 8 apparently decided part wallpaper also cant adjust clock size position like show 5 nothing worse looking picture beautiful child stupid thing try bottomomg amazon please turn stupid thing try wallpaper non stop,0.9990460276603699,NEGATIVE
18,BJ B.,software issue need option,received echo show 8 set basically echo show 5 however difference come menu option liked addition optional photo chose option daydate screen gone would also option making time font biggersmaller would nice also could change font color speed picture rotate much fast least maybe option would nice like hour 234 even long day different picture every morning size nice without able enlarge font well would nice people cant see real well overall like need fine tuning far option especially price another thing really dont need alexa telling try thing day long mean come opt buttonupdate 12122019i two brand new echo show 5 got sent back fixing dealingchatting amazon customer service several time two week period picture rotation would freeze along couple glitch occurred got sent back two refurbishedrenewed show 5 point brand new echo show 8 exact thing instead going whole customer service fiasco im returning still getting another one another thing noticed disliked using day set timer number nice big count couple second timer shrink youd inch away read itmaybe maybe gen2 echo 8 come may revisit need make major change,2.0 out of 5 stars,"Reviewed in the United States on November 28, 2019",received echo show 8 set basically echo show 5 however difference come menu option liked addition optional photo chose option daydate screen gone would also option making time font biggersmaller would nice also could change font color speed picture rotate much fast least maybe option would nice like hour 234 even long day different picture every morning size nice without able enlarge font well would nice people cant see real well overall like need fine tuning far option especially price another thing really dont need alexa telling try thing day long mean come opt buttonupdate 12122019i two brand new echo show 5 got sent back fixing dealingchatting amazon customer service several time two week period picture rotation would freeze along couple glitch occurred got sent back two refurbishedrenewed show 5 point brand new echo show 8 exact thing instead going whole customer service fiasco im returning still getting another one another thing noticed disliked using day set timer number nice big count couple second timer shrink youd inch away read itmaybe maybe gen2 echo 8 come may revisit need make major changesoftware issue need option,0.9954589605331421,NEGATIVE
19,John Govern,review currently helpful product wrong thing try,saw review device saw argument could turn thing try helpful review far saying thing try could turned figured could turned still buy product bought 3 spending 1 hour confirm helpful review completely false thing try turned way helpful review removed incorrect also thing try much annoying thought would,1.0 out of 5 stars,"Reviewed in the United States on December 8, 2019",saw review device saw argument could turn thing try helpful review far saying thing try could turned figured could turned still buy product bought 3 spending 1 hour confirm helpful review completely false thing try turned way helpful review removed incorrect also thing try much annoying thought wouldreview currently helpful product wrong thing try,0.9974332451820374,NEGATIVE
20,Experienced at life,worst mistake possible terrible firmware,amazon think people tolerate device force watch thing screen time want ever see amazingmaybe theyll get message thousand people complaining thing wish id seen complaint poor review hand want set nothing show screen except time big number none thing try constantly changing annoying usthis going back unless someone amazon tell new firmware coming allow u configure device need think many people would upset every minute none display echo unit would announce thing try could hear thingsdo buy unless continent let amazon control see,1.0 out of 5 stars,"Reviewed in the United States on December 7, 2019",amazon think people tolerate device force watch thing screen time want ever see amazingmaybe theyll get message thousand people complaining thing wish id seen complaint poor review hand want set nothing show screen except time big number none thing try constantly changing annoying usthis going back unless someone amazon tell new firmware coming allow u configure device need think many people would upset every minute none display echo unit would announce thing try could hear thingsdo buy unless continent let amazon control seeworst mistake possible terrible firmware,0.9987461566925049,NEGATIVE
21,Ms. T,try alexa shut obnoxious,im contemplating returning try alexa feature suck turned offupdatewithin hour posting 1 star review received call amazon support wanting help sadly way turn try alexa told sending recommendation product engineering team call decided keep device figured many bad review would priority amazon fix almost 2 month later still annoying arrogant must company continue push optional feature customer echo show corner hardly ever used highly recommend stay clear product feature fixed,1.0 out of 5 stars,"Reviewed in the United States on December 8, 2019",im contemplating returning try alexa feature suck turned offupdatewithin hour posting 1 star review received call amazon support wanting help sadly way turn try alexa told sending recommendation product engineering team call decided keep device figured many bad review would priority amazon fix almost 2 month later still annoying arrogant must company continue push optional feature customer echo show corner hardly ever used highly recommend stay clear product feature fixedtry alexa shut obnoxious,0.9989184141159058,NEGATIVE
22,Don,make ambient clock bigger,medium could loaded love echo show 8 thing hate small digital clock would put small clock bigger screen echo show 8 go ambient mode clock corner lol hope update bigger clock ill send back happy echo show 5 sound great pick voice better show 5 im using extra stand show 5 dont know ill need stand right please stop displaying ask alexa try screen dont want see stuff able display thing want see work great wyze camera wifi light sound really really good way better echo show 5 cant stand clock small friend looking manual online way make clock biggie hope mentioned ambient clock enough get stuck head please update ambient clock wish change color clock january 31 return get moving update,4.0 out of 5 stars,"Reviewed in the United States on November 29, 2019",medium could loaded love echo show 8 thing hate small digital clock would put small clock bigger screen echo show 8 go ambient mode clock corner lol hope update bigger clock ill send back happy echo show 5 sound great pick voice better show 5 im using extra stand show 5 dont know ill need stand right please stop displaying ask alexa try screen dont want see stuff able display thing want see work great wyze camera wifi light sound really really good way better echo show 5 cant stand clock small friend looking manual online way make clock biggie hope mentioned ambient clock enough get stuck head please update ambient clock wish change color clock january 31 return get moving updatemake ambient clock bigger,0.9790753722190857,NEGATIVE
23,Don,yes incredibly annoying,read comment purchased stating try alexa message cant removed screen honestly thought wrong nope really cant remove message bottom every screen unbelievably annoying think get use dontthere complaint web yet amazon done nothing amazon read message let give tip message dont make likely use service make le likely dont read message try ignore themsince amazon disregarding input user option buy device return one bought refund amazon add ability turn message nobody buy screen forced watch ad amazon message truly added value customer leave enabled screen fact dont provide option turn indicates realize dont add valueim returning mine suggest everyone simply think twice purchase one truly frustrating beyond belief way disable message home screen,1.0 out of 5 stars,"Reviewed in the United States on December 13, 2019",read comment purchased stating try alexa message cant removed screen honestly thought wrong nope really cant remove message bottom every screen unbelievably annoying think get use dontthere complaint web yet amazon done nothing amazon read message let give tip message dont make likely use service make le likely dont read message try ignore themsince amazon disregarding input user option buy device return one bought refund amazon add ability turn message nobody buy screen forced watch ad amazon message truly added value customer leave enabled screen fact dont provide option turn indicates realize dont add valueim returning mine suggest everyone simply think twice purchase one truly frustrating beyond belief way disable message home screenyes incredibly annoying,0.9989575147628784,NEGATIVE
24,No Way,way turn annoying ad,change 1 star five make remove try alexa annoying suggestion bottom screen option baffle really really bad programmer,1.0 out of 5 stars,"Reviewed in the United States on December 3, 2019",change 1 star five make remove try alexa annoying suggestion bottom screen option baffle really really bad programmerway turn annoying ad,0.9997561573982239,NEGATIVE
